year,month,sstarc
1951,3,-0.657587145
1951,4,-0.653517951
1951,5,-0.301646715
1951,6,-0.308366743
1951,7,0.008019383
1951,8,-0.131302679
1951,9,-0.086311715
1951,10,0.070302039
1951,11,-0.140815178
1951,12,-0.360229791
1952,1,-0.753653291
1952,2,-0.535953128
1952,3,-0.654145064
1952,4,-0.782184657
1952,5,-0.405602939
1952,6,-0.648064693
1952,7,-0.840172273
1952,8,-0.572987292
1952,9,-0.491501081
1952,10,-0.039547774
1952,11,-0.095293676
1952,12,-0.286201107
1953,1,-0.424003912
1953,2,-0.5373742
1953,3,-0.617909322
1953,4,-0.534502508
1953,5,-0.304211843
1953,6,-0.358668682
1953,7,-0.10028652
1953,8,-0.014704379
1953,9,-0.250104559
1953,10,-0.487431163
1953,11,-0.406340648
1953,12,-0.517246864
1954,1,-0.399903117
1954,2,-0.406769537
1954,3,-0.576885551
1954,4,-0.243575673
1954,5,-0.202986683
1954,6,-0.305813702
1954,7,-0.408149195
1954,8,-0.21886414
1954,9,0.032258326
1954,10,0.026782552
1954,11,0.213952198
1954,12,-0.019661494
1955,1,-0.445289885
1955,2,-0.383788183
1955,3,-0.489514934
1955,4,-0.751647723
1955,5,-0.888074153
1955,6,-1.108587747
1955,7,-0.980935717
1955,8,-0.986385237
1955,9,-1.101621694
1955,10,-1.165735097
1955,11,-0.980876585
1955,12,-0.551385067
1956,1,-0.42064589
1956,2,-0.53708583
1956,3,-0.858592177
1956,4,-0.71776476
1956,5,-0.321617191
1956,6,-0.639994427
1956,7,-0.540539664
1956,8,-0.141016286
1956,9,-0.129192826
1956,10,-0.355680415
1956,11,-0.820284637
1956,12,-0.519160943
1957,1,-0.40312393
1957,2,-0.456256788
1957,3,-0.163966934
1957,4,-0.018359589
1957,5,0.478939799
1957,6,0.792906003
1957,7,0.608807301
1957,8,0.403175627
1957,9,0.665341621
1957,10,0.733181922
1957,11,0.770874347
1957,12,0.59466879
1958,1,0.382664155
1958,2,0.475577364
1958,3,0.499739495
1958,4,0.397910431
1958,5,0.559478257
1958,6,1.09694937
1958,7,0.690091584
1958,8,0.582499093
1958,9,0.294836919
1958,10,0.266950754
1958,11,0.128605933
1958,12,0.382218022
1959,1,0.543039062
1959,2,0.435837307
1959,3,0.220342832
1959,4,0.256794898
1959,5,0.207065688
1959,6,0.336173059
1959,7,0.234197646
1959,8,-0.020601937
1959,9,-0.0435535
1959,10,0.33346014
1959,11,0.559961839
1959,12,0.299661442
1960,1,-0.185216992
1960,2,0.070940285
1960,3,0.02455879
1960,4,0.015275763
1960,5,0.080045114
1960,6,0.033031554
1960,7,0.01264704
1960,8,-0.1944525
1960,9,-0.400662271
1960,10,-0.211613907
1960,11,-0.464914511
1960,12,-0.247441712
1961,1,-0.036940017
1961,2,-0.005021846
1961,3,-0.037819289
1961,4,-0.001138461
1961,5,0.029730359
1961,6,0.109865544
1961,7,0.036390601
1961,8,0.142388664
1961,9,-0.10008391
1961,10,-0.197346076
1961,11,-0.513866597
1961,12,-0.532450523
1962,1,-0.238906972
1962,2,-0.132642751
1962,3,-0.179587716
1962,4,-0.078146497
1962,5,-0.229911359
1962,6,-0.456726286
1962,7,-0.280688263
1962,8,-0.028967229
1962,9,-0.164531201
1962,10,-0.548296285
1962,11,-0.214607457
1962,12,-0.052101606
1963,1,0.119899801
1963,2,0.516925821
1963,3,0.208431907
1963,4,0.266720772
1963,5,0.301830797
1963,6,0.084765498
1963,7,-0.037828043
1963,8,0.126041499
1963,9,0.730568243
1963,10,0.400677972
1963,11,0.072091371
1963,12,0.341622311
1964,1,0.231637692
1964,2,0.114526567
1964,3,-0.335527287
1964,4,-0.457333494
1964,5,-0.677642969
1964,6,-0.16124934
1964,7,-0.451557889
1964,8,-0.572291629
1964,9,-0.743757028
1964,10,-0.570494936
1964,11,-0.60508979
1964,12,-0.434915954
1965,1,-0.607460151
1965,2,-0.557050275
1965,3,-0.379652719
1965,4,-0.322416313
1965,5,-0.580687578
1965,6,-0.818153018
1965,7,-0.76353901
1965,8,-0.255030257
1965,9,0.109841284
1965,10,-0.136233884
1965,11,0.061101248
1965,12,-0.213589705
1966,1,-0.579413963
1966,2,-0.495154659
1966,3,-0.384317194
1966,4,-0.211545305
1966,5,-0.323563619
1966,6,-0.237667718
1966,7,-0.239461476
1966,8,-0.38793305
1966,9,-0.303228026
1966,10,-0.304904188
1966,11,-0.205603591
1966,12,-0.040707687
1967,1,-0.23819495
1967,2,-0.214556559
1967,3,-0.147128839
1967,4,-0.286651553
1967,5,0.04428384
1967,6,0.256055488
1967,7,0.338550138
1967,8,0.668019071
1967,9,0.596830075
1967,10,0.230438801
1967,11,0.356359993
1967,12,-0.302940896
1968,1,-0.315968397
1968,2,-0.071580581
1968,3,0.109008525
1968,4,-0.098563789
1968,5,0.170237174
1968,6,0.668109935
1968,7,0.672581051
1968,8,0.395021869
1968,9,0.157807968
1968,10,-0.169108741
1968,11,-0.099731177
1968,12,-0.197180062
1969,1,-0.218914081
1969,2,-0.480876019
1969,3,-0.693994428
1969,4,-0.482380944
1969,5,-0.361401056
1969,6,0.209940203
1969,7,-0.057328713
1969,8,-0.335004737
1969,9,-0.500637492
1969,10,-0.241704969
1969,11,-0.239247026
1969,12,0.035981806
1970,1,0.001917422
1970,2,0.093236983
1970,3,0.126707705
1970,4,-0.009195473
1970,5,-0.383601456
1970,6,-0.308218505
1970,7,-0.669387679
1970,8,-0.687997903
1970,9,-0.683050192
1970,10,-0.339311074
1970,11,-0.114723306
1970,12,-0.242138426
1971,1,-0.648581026
1971,2,-0.706995455
1971,3,-0.868495023
1971,4,-0.838296488
1971,5,-1.173077968
1971,6,-1.26936942
1971,7,-1.03396491
1971,8,-0.502316618
1971,9,-0.954145961
1971,10,-1.094866095
1971,11,-1.232033355
1971,12,-1.162789919
1972,1,-1.330683632
1972,2,-1.209568991
1972,3,-0.879200181
1972,4,-0.778220037
1972,5,-0.740040375
1972,6,-0.691091188
1972,7,-0.400703894
1972,8,-0.213761428
1972,9,-0.496053293
1972,10,-0.725838799
1972,11,-0.564732589
1972,12,-0.543776475
1973,1,-0.542289426
1973,2,-0.506879844
1973,3,-0.543788388
1973,4,-0.550088008
1973,5,-0.589774592
1973,6,-0.714451519
1973,7,-0.759021695
1973,8,-0.851338674
1973,9,-0.803140946
1973,10,-0.793300856
1973,11,-0.795749123
1973,12,-0.537439719
1974,1,-0.373632919
1974,2,-0.533645967
1974,3,-0.65448864
1974,4,-0.431545937
1974,5,-0.51392133
1974,6,-0.662491128
1974,7,-0.363208592
1974,8,-0.237582101
1974,9,0.243990885
1974,10,-0.060251323
1974,11,-0.23534364
1974,12,-0.156222881
1975,1,-0.475055552
1975,2,-0.710445495
1975,3,-0.693955053
1975,4,-0.946606528
1975,5,-1.10694988
1975,6,-1.240956704
1975,7,-1.014149842
1975,8,-1.157590922
1975,9,-1.005808792
1975,10,-0.868043232
1975,11,-1.183877073
1975,12,-0.909280416
1976,1,-0.822103661
1976,2,-0.734764191
1976,3,-0.750440129
1976,4,-0.940363991
1976,5,-1.024406274
1976,6,-0.997261603
1976,7,-0.74985551
1976,8,-0.691471245
1976,9,-0.751637528
1976,10,-0.324088228
1976,11,-0.195816099
1976,12,0.194425659
1977,1,0.142537871
1977,2,0.369268732
1977,3,-0.092348586
1977,4,-0.315588274
1977,5,-0.309929996
1977,6,-0.063660222
1977,7,-0.10651831
1977,8,0.191868831
1977,9,0.271470593
1977,10,0.068463048
1977,11,-0.476609138
1977,12,-0.172893653
1978,1,0.173235058
1978,2,0.129127345
1978,3,0.213886076
1978,4,0.294022871
1978,5,0.071825845
1978,6,0.04584394
1978,7,-0.250723252
1978,8,-0.287397608
1978,9,-0.245968253
1978,10,-0.008459085
1978,11,-0.094622388
1978,12,-0.237936526
1979,1,-0.009544081
1979,2,-0.406371558
1979,3,-0.190552726
1979,4,0.061171002
1979,5,-0.000411709
1979,6,0.011049239
1979,7,0.141144483
1979,8,0.478676967
1979,9,0.772223338
1979,10,0.489650628
1979,11,0.47458529
1979,12,0.406485692
1980,1,0.339309983
1980,2,0.355250456
1980,3,0.335087819
1980,4,0.167082537
1980,5,-0.048971676
1980,6,-0.244795826
1980,7,-0.160794056
1980,8,-0.362874755
1980,9,-0.395455183
1980,10,-0.344777324
1980,11,-0.178322026
1980,12,-0.04915101
1981,1,0.378303855
1981,2,0.357655921
1981,3,0.37393566
1981,4,0.334258777
1981,5,0.43617699
1981,6,0.651287153
1981,7,0.166094377
1981,8,0.031145201
1981,9,0.170971075
1981,10,-0.02685943
1981,11,0.148259732
1981,12,0.089491369
1982,1,0.038757131
1982,2,0.017253646
1982,3,-0.009355805
1982,4,-0.228143574
1982,5,-0.364828247
1982,6,-0.403893063
1982,7,-0.547574532
1982,8,-0.482923575
1982,9,-0.343854335
1982,10,-0.294757721
1982,11,-0.196826314
1982,12,0.005232246
1983,1,-0.061562292
1983,2,0.10006146
1983,3,0.432772501
1983,4,0.311176707
1983,5,0.230694467
1983,6,0.264801961
1983,7,0.057859616
1983,8,0.004797695
